pygame 2.1.2 (SDL 2.0.18, Python 3.9.7)
Hello from the pygame community. https://www.pygame.org/contribute.html
mu_r be_r mu_l be_l
12.718657720187684 15.574367929172732 2.2975650396096174e-06 9.403612852467697e-08
12.718658996398283 15.574367962542977 2.2279184737908534e-06 9.119274093610154e-08
12.551769175546422 15.62782012039789 2.1920612555811115e-06 8.972870374753023e-08
12.945859364990584 15.423721800330547 2.1920612555811115e-06 8.972870374753023e-08
14.270679786222162 14.899652674059917 2.1920612555811115e-06 8.972870374753023e-08
15.68609148116579 14.467694930362018 2.1920612555811115e-06 8.972870374753023e-08
16.191469956549714 14.16872887661863 2.1920612555811115e-06 8.972870374753023e-08
15.606757554137342 13.649172635918301 2.1920612555811115e-06 8.972870374753023e-08
14.73161184472804 13.019173677695855 2.1920612555811115e-06 8.972870374753023e-08
14.18428525389804 12.583212562288274 2.1920612555811115e-06 8.972870374753023e-08
14.177034790220866 12.767822334485649 2.1920612555811115e-06 8.972870374753023e-08
14.52345470574439 13.592147907120577 2.1920612555811115e-06 8.972870374753023e-08
15.00583067276073 14.321336403588107 2.1920612555811115e-06 8.972870374753023e-08
15.868841804548511 14.652635773366475 2.1920612555811115e-06 8.972870374753023e-08
16.64634648371005 14.411338337895886 2.1920612555811115e-06 8.972870374753023e-08
16.89869867500398 13.705466026559964 2.1920612555811115e-06 8.972870374753023e-08
16.248666583310225 12.818569286070247 2.1920612555811115e-06 8.972870374753023e-08
15.248611706248088 11.909651061552925 2.1920612555811115e-06 8.972870374753023e-08
14.827474332911692 11.607569882429392 2.1920612555811115e-06 8.972870374753023e-08
14.9773763499315 12.229686380076101 2.1920612555811115e-06 8.972870374753023e-08
15.188464105174413 13.552225591282827 2.1920612555811115e-06 8.972870374753023e-08
15.262245157757363 15.156809582476104 2.1920612555811115e-06 8.972870374753023e-08
15.293199376481976 15.906089826029485 2.1920612555811115e-06 8.972870374753023e-08
15.235979983802608 15.788849403341192 2.1920612555811115e-06 8.972870374753023e-08
14.735849783875569 14.93027282429439 2.1920612555811115e-06 8.972870374753023e-08
14.052891745349102 13.803017127988571 2.1920612555811115e-06 8.972870374753023e-08
13.796886748414682 12.210890613310065 2.1920612555811115e-06 8.972870374753023e-08
14.687320623321904 10.843677934374924 2.1920612555811115e-06 8.972870374753023e-08
15.996738190266026 10.542822244866478 2.1920612555811115e-06 8.972870374753023e-08
16.81504666190533 11.373819686628458 2.1920612555811115e-06 8.972870374753023e-08
17.09254952879461 13.101049995605523 2.1920612555811115e-06 8.972870374753023e-08
17.151659763612663 14.641207656364717 2.1920612555811115e-06 8.972870374753023e-08
17.09400785099211 15.376729386355372 2.1920612555811115e-06 8.972870374753023e-08
16.60441685139033 15.583977791107484 2.1920612555811115e-06 8.972870374753023e-08
15.563845375081147 15.287563882838064 2.1920612555811115e-06 8.972870374753023e-08
15.038694378355007 14.455412812932357 2.1920612555811115e-06 8.972870374753023e-08
15.680402868343517 13.529533267642735 2.1920612555811115e-06 8.972870374753023e-08
17.15223861279434 12.858758107465643 2.1920612555811115e-06 8.972870374753023e-08
17.992054071344285 13.028601822426454 2.1920612555811115e-06 8.972870374753023e-08
17.845320777428334 13.88862555196176 2.1920612555811115e-06 8.972870374753023e-08
17.010216532517433 14.675387065835345 2.1920612555811115e-06 8.972870374753023e-08
16.237526451650815 14.807822078096745 2.1920612555811115e-06 8.972870374753023e-08
15.603943109132757 14.319698025984685 2.1920612555811115e-06 8.972870374753023e-08
15.338064924400985 13.623912347432565 2.1920612555811115e-06 8.972870374753023e-08
15.749339491422198 12.792168531740165 2.1920612555811115e-06 8.972870374753023e-08
16.75239889617348 12.296167087694998 2.1920612555811115e-06 8.972870374753023e-08
17.911082169662592 12.382261113043969 2.1920612555811115e-06 8.972870374753023e-08
18.19888376179803 13.347894568477024 2.1920612555811115e-06 8.972870374753023e-08
17.562368182647116 14.546833551474434 2.1920612555811115e-06 8.972870374753023e-08
16.694151805313943 14.868036884821224 2.1920612555811115e-06 8.972870374753023e-08
15.83681391664592 14.174855093021028 2.1920612555811115e-06 8.972870374753023e-08
15.04014750364707 12.783515080528353 2.1920612555811115e-06 8.972870374753023e-08
14.682416133649197 11.89583215502888 2.1920612555811115e-06 8.972870374753023e-08
14.869165637380602 11.823970404192629 2.1920612555811115e-06 8.972870374753023e-08
15.245281927013796 12.076261845007918 2.1920612555811115e-06 8.972870374753023e-08
15.113585000389431 12.426172046008553 2.1920612555811115e-06 8.972870374753023e-08
14.446626654022984 13.021391890761954 2.1920612555811115e-06 8.972870374753023e-08
13.542578349794567 13.985221652523865 2.1920612555811115e-06 8.972870374753023e-08
13.09731609776055 14.54198419136211 2.1920612555811115e-06 8.972870374753023e-08
13.157346067769502 14.318991559498157 2.1920612555811115e-06 8.972870374753023e-08
13.384612920206774 13.672494461020882 2.1920612555811115e-06 8.972870374753023e-08
13.419391862581737 13.349884182233273 2.1920612555811115e-06 8.972870374753023e-08
13.226928389738653 13.394266049157963 2.1920612555811115e-06 8.972870374753023e-08
12.810230969383003 13.324844242399886 2.1920612555811115e-06 8.972870374753023e-08
12.357444714365535 12.969523450677976 2.1920612555811115e-06 8.972870374753023e-08
11.912206232994171 12.560280841771538 2.1920612555811115e-06 8.972870374753023e-08
11.790564395189229 12.53176082168289 2.1920612555811115e-06 8.972870374753023e-08
12.079097252105509 12.765743209277279 2.1920612555811115e-06 8.972870374753023e-08
