pygame 2.1.2 (SDL 2.0.18, Python 3.9.7)
Hello from the pygame community. https://www.pygame.org/contribute.html
[[4.211198738372368, 6.328463215985049], [1.413436701592992, 1.549102109982899]]
[[4.211198744124521, 6.328463215796045], [1.4134367228672047, 1.54910210998393]]
[[4.549609558759684, 5.732827380777784], [1.5288699707325097, 1.5002753579074912]]
[[5.078196549740468, 5.032752615996202], [1.6375266301041103, 1.405390172258328]]
[[5.730377745275, 4.516915240778878], [1.7455097789251606, 1.300759038423141]]
[[6.069020802206194, 4.555719924710772], [1.7903267299740897, 1.2360522947300285]]
[[5.9004209371881355, 4.977700370912007], [1.7456339546621569, 1.2288931423675076]]
[[5.237706042332908, 5.734172607829009], [1.6041441639309044, 1.2976984258747277]]
[[4.522423856372995, 6.431069660240164], [1.456043374389938, 1.4190543775632867]]
[[3.869310586258943, 6.940862625837782], [1.3407276370597456, 1.5699031620835575]]
[[3.616286213350815, 6.865601086631637], [1.3366772664554172, 1.6413916093745626]]
[[3.7720385922090958, 6.199326865270652], [1.4501109236386447, 1.6187104827826624]]
[[4.38268629104013, 5.371792971232259], [1.6414575851397166, 1.5190203156908229]]
[[5.225323969299404, 4.887008186798098], [1.815078928187369, 1.3960831491645371]]
[[5.62587955063794, 4.893539752833587], [1.837234365066742, 1.3112565527843327]]
[[5.4500574898095255, 5.140279691491296], [1.7119882035309146, 1.2574284947397354]]
[[4.5391144566099975, 5.628301643798059], [1.4318057855572253, 1.2746812699764787]]
[[3.3670943724060596, 6.275796170580368], [1.1489240199501183, 1.4063167833482897]]
[[2.6615379165409694, 6.74553076672599], [1.0274423203351981, 1.5682081520828977]]
[[2.5359298571753315, 6.813916982961313], [1.0854297047976313, 1.6834027347358167]]
[[3.1371538152727294, 6.277666602947095], [1.356966867557753, 1.6801730574753404]]
[[4.087834055873875, 5.604986058502544], [1.6701162188673147, 1.576959157922636]]
[[5.217296623852109, 5.155545264537592], [1.948298958155523, 1.4259342623128684]]
[[5.830138594510329, 5.2413201656915716], [1.9962748594992443, 1.3013457588675619]]
[[5.611850709448442, 5.52696536486618], [1.812135108111602, 1.2205972495850805]]
[[4.625439530574026, 5.712842506589319], [1.4685166018375815, 1.184875533494701]]
[[3.5506318394890064, 5.690193830086843], [1.1773365337949189, 1.20761622188028]]
[[2.638573328293376, 5.444118814037897], [0.9864213422580603, 1.2611652885018352]]
[[2.414683572198389, 5.017316163848523], [1.0023451812216808, 1.2716789225947283]]
[[2.7141903386313673, 4.470223495825562], [1.1729509152862845, 1.225365860068459]]
[[3.464559486126263, 4.016279330092096], [1.4700159567510094, 1.1487968687785557]]
[[4.165491134096674, 4.064582453948834], [1.6971276331269205, 1.1177182477695815]]
[[4.661138539532791, 4.642542968617499], [1.795662534668909, 1.132742388079154]]
[[4.600469744677564, 5.315947666067771], [1.7006641000765486, 1.161916885473894]]
[[4.015242544679001, 5.889637597948577], [1.4645697763345549, 1.1999782140569235]]
