[[5.948066538891516, 9.200420132111015], [1.5772855154753367, 1.3516258726568804]]
[[5.996797136995933, 8.908169150559912], [1.5755186755494162, 1.3264690370173795]]
[[6.202873053199184, 7.691232401416789], [1.5187853878876383, 1.2554391707874213]]
[[6.225014979131774, 8.579505778778117], [1.4447631958263574, 1.417967335978071]]
[[6.150084792027209, 10.691623461221333], [1.4130638268407503, 1.694748824154719]]
[[5.927064147216691, 13.46580964016325], [1.401220270861479, 2.0110159299664456]]
[[5.663711941608852, 15.12571164555427], [1.3970687901007683, 2.150237959523702]]
[[5.440124093463382, 15.373505114573074], [1.4211689807218648, 2.0859160258022724]]
[[5.390850375862684, 13.979328814142157], [1.4835554598153868, 1.8653892697060968]]
[[5.44519536585555, 11.263403453718857], [1.5606305680302535, 1.5491537255484518]]
[[5.5351941588252895, 8.561814834566555], [1.5818922571828609, 1.2875225392403022]]
[[5.682557884908754, 6.659045563458053], [1.5083829530291155, 1.148967008278852]]
[[5.851067034856397, 6.839277853584537], [1.3906336894716318, 1.229188112136585]]
[[5.993183959886302, 8.990773742467148], [1.2677196755207456, 1.51602395263394]]
[[5.976990174047052, 11.573649880983268], [1.219885466988777, 1.8142301148005227]]
[[5.867679068727969, 13.907114552283991], [1.2618594875020168, 2.0389581932546044]]
[[5.86673797572699, 14.492311507295744], [1.3926137394712157, 2.0367039193554635]]
[[6.0186290861697636, 13.520237798229521], [1.5916202217861106, 1.8539510821546308]]
[[6.247304248429446, 10.79103680179787], [1.822614985277517, 1.508199746642575]]
[[6.295919271439504, 8.358020956077157], [1.8820856439468159, 1.276426256234005]]
[[6.195394228623304, 6.647930567719421], [1.7525816488175494, 1.198628549396812]]
[[6.083168635046088, 6.733365202013563], [1.5369631153351198, 1.3147145193919325]]
[[5.977333565501103, 8.09467714032177], [1.3365962376386231, 1.5313994320451947]]
[[5.796864550658291, 10.216551131714303], [1.2233773786318216, 1.764890338164984]]
[[5.603840079697308, 11.599111051524723], [1.2709640497020633, 1.8519576409232121]]
[[5.587196560412316, 11.55407162465846], [1.4277431135853553, 1.7673507138885327]]
[[5.768393672971686, 10.38316242087412], [1.6487537640557461, 1.5563739871904465]]
[[6.039993552878619, 8.483310439684455], [1.8720812378396277, 1.2758226131632955]]
[[6.179194351924405, 6.744102085953956], [1.970540605664155, 1.0670800117001031]]
[[6.094137249631767, 6.4331446994790165], [1.8672648572774935, 1.1015046225179033]]
[[5.944808572887258, 7.16659556631649], [1.6732126280241257, 1.2935075426448885]]
[[5.797384974431635, 8.531384307456431], [1.471544540538238, 1.5517192319380748]]
[[5.7282144709754, 9.505360595377134], [1.4156102974560545, 1.6753321153841083]]
[[5.763481562155801, 9.972224412453137], [1.5152782477089803, 1.659506420404765]]
[[5.977033601486828, 9.817105286996759], [1.8033056052469678, 1.5054773910202388]]
[[6.246283616391351, 8.965239165813559], [2.153280856576098, 1.2918136384739558]]
[[6.3187941990646745, 7.8801527940232505], [2.354229331220628, 1.1393831259080016]]
[[6.125447447972504, 6.971143669538759], [2.35005107657667, 1.092681658595594]]
[[5.6037059485420055, 6.893854650029036], [2.076131083030059, 1.225418178105014]]
[[4.961458755109878, 8.167302228837155], [1.656140213853209, 1.5132923785075219]]
[[4.506106133280975, 10.30276813805075], [1.3153445518628863, 1.8178152377303467]]
[[4.563832957848076, 11.692931325715993], [1.2814471286791882, 1.935544924085111]]
[[5.0666117474491354, 12.174064818870892], [1.5020302319360082, 1.8981957981100546]]
[[5.963503715795467, 11.510435547053016], [1.9538425083509021, 1.7163746093519616]]
[[6.715145971154326, 10.108345026865036], [2.3615558786294106, 1.506153823266343]]
[[6.9368234311671735, 9.051660535648567], [2.4926706055607255, 1.398443422585887]]
[[6.639535831829731, 8.81213654092928], [2.3266721869074756, 1.4325492054251172]]
[[5.969824389684998, 9.89275112695848], [1.9369394855966298, 1.6389791302210115]]
[[5.32583768151502, 11.744018747251815], [1.5430423742334538, 1.9325728475483135]]
[[5.197512894021788, 13.314195478784386], [1.3613769634698998, 2.19586799705464]]
[[5.799076596903517, 13.787403133826576], [1.4752941271998614, 2.352429347201366]]
[[7.0053634880073545, 13.305804641626255], [1.8186995170683882, 2.442053253827198]]
[[8.52307667524939, 11.976115408966841], [2.3222041799900577, 2.452795511654543]]
[[9.261171958012788, 10.687920358345423], [2.689368722018336, 2.352908991265245]]
[[9.066470299096155, 10.052547981886093], [2.869235620710122, 2.2048057487048114]]
[[8.159554159905248, 10.445985524866007], [2.9407828328869887, 2.113860316850094]]
[[7.260669327926218, 11.731296316503384], [2.919650552829193, 2.2089788185407477]]
[[6.3657511376140805, 13.61168313590293], [2.7478743690223446, 2.478919427638332]]
[[5.825397000256794, 14.70435323566], [2.469870008701423, 2.7017526832592083]]
[[5.791074995980098, 14.667980916604678], [2.1986158857286062, 2.8003391545644196]]
[[6.5829813267449415, 13.461570583385427], [2.1725748552859585, 2.7459459406950204]]
[[7.797273239058172, 11.915604880963018], [2.3994046465086405, 2.6109802294117137]]
[[8.94109342693612, 10.459638654273121], [2.7751455552421014, 2.383770397948763]]
[[9.042513574794079, 10.193234600286182], [2.9665751782745335, 2.1938320608718023]]
[[8.440242032734762, 11.169369377924902], [3.0289235578154474, 2.0887091336809007]]
[[7.794755310322176, 12.9638776976073], [3.011174348140362, 2.191930127368701]]
[[7.2819107998048915, 15.022528997501919], [2.941028594070549, 2.4536362497836643]]
[[6.844500869473752, 16.524385858350037], [2.7542336154372316, 2.7682957808745354]]
[[6.701413366158621, 16.118223993882275], [2.5015515082570974, 2.9007783277089363]]
[[7.068954393925619, 14.388369921589799], [2.369476362578231, 2.8475468763785363]]
[[7.974617852097716, 11.964832154443428], [2.428908437943422, 2.6826971748787614]]
[[8.654613560253361, 10.482074321366229], [2.6228701373668906, 2.5059639710369424]]
[[8.78462296374243, 10.059388821935928], [2.9086497620042975, 2.2957131973255396]]
[[8.39303644001762, 10.89514724657242], [3.196261660588838, 2.161845869192276]]
[[7.897341551331367, 12.723056028859517], [3.4653777821180993, 2.185447564230517]]
[[7.529344653742358, 14.498452557993176], [3.536651038098714, 2.3489669052027082]]
[[7.098062669906655, 15.83258756681493], [3.3303714247580474, 2.580745407913325]]
[[6.887584144720971, 15.799715830759306], [3.009097184404286, 2.7052919379457667]]
[[7.266697227398958, 14.445990964634618], [2.7502604337240313, 2.7136595298170776]]
[[8.160366970231205, 12.755157389603006], [2.7581789618490675, 2.622387578104708]]
[[9.137824825955152, 11.301330147708253], [2.9558543539277715, 2.4603779370388144]]
[[9.791688970667874, 10.536481334309316], [3.3288454685965743, 2.222647518564112]]
[[9.890917316713082, 10.790520913357753], [3.6925746011383893, 2.0565149236446514]]
[[9.780707580359218, 11.82870365470562], [4.065698808523847, 1.9796613886781664]]
[[9.492448847859952, 13.57064262361889], [4.241436543252379, 2.06542332272489]]
[[9.021051882735684, 14.932400196224705], [4.000959015937829, 2.2427064819288636]]
[[8.317886759449634, 15.520418660688026], [3.3493024425983777, 2.4543271210938316]]
[[7.931661965378499, 14.835914026461868], [2.7512009898767738, 2.5720253623815807]]
[[7.979261768212949, 13.28112299293751], [2.3713451831660426, 2.5939715150593363]]
[[8.346591312497399, 11.269059250176714], [2.285615614518278, 2.4789489878384496]]
