[[3.517015014527284, 5.979464989863021], [1.7004496578406942, 1.0164865772675615]]
[[3.481819646604076, 6.021730245363205], [1.6468606178136111, 1.0386876232775677]]
[[3.6038451867382606, 6.42426181616598], [1.4026040262173032, 1.1460265080960017]]
[[4.112772262888707, 6.95053599798672], [1.252009627456775, 1.2440091998874878]]
[[4.976808209568953, 7.53164998126479], [1.2654412791663863, 1.3132681284964003]]
[[5.507256006602603, 7.859232331942408], [1.3935058845946222, 1.3073647837763338]]
[[5.4700156834144, 7.956372407118659], [1.5077298514473605, 1.2524464072266062]]
[[4.785351072854436, 7.831605575927456], [1.5339031312010558, 1.1946312621226751]]
[[4.0647073526984885, 7.656438841388592], [1.4919717422395995, 1.2103735018805202]]
[[3.5416486241527716, 7.583209019409688], [1.422375929387251, 1.3286559163137601]]
[[3.531392886333266, 7.801641701485255], [1.3249440931145888, 1.4699747292487195]]
[[3.862291858167129, 8.202035797398134], [1.205446080512866, 1.5483114583864017]]
[[4.517022089270168, 8.660767546082718], [1.1174067886755883, 1.5574254244632921]]
[[5.560232022982612, 8.984768180922897], [1.1626079948954857, 1.4892924951747037]]
[[6.361586306647705, 8.881827109754282], [1.3303111833796923, 1.3856272710025324]]
[[6.647260094600328, 8.311532839022613], [1.5377579811817736, 1.2564532055830342]]
[[6.198973978847417, 7.646133026611778], [1.6177142510212204, 1.1825099086618263]]
[[5.200785701841788, 7.003194417339642], [1.5797327291612158, 1.1867394633759665]]
[[4.220942444866722, 6.638057790494534], [1.4766757443136915, 1.2766366913459848]]
[[3.681856445880173, 6.530604751179522], [1.3766403566083847, 1.3658054027556867]]
[[3.593763864624038, 6.691507039954459], [1.2673955799087042, 1.419162661062394]]
[[4.097537542829271, 7.220116292232367], [1.2130133463345545, 1.4225668801660811]]
[[4.943469833035991, 7.9403064437004245], [1.2477518509003058, 1.417236475500047]]
[[5.895367405544257, 8.569435030698342], [1.3818709179617255, 1.4085836057122092]]
[[6.2250809693175455, 8.561772772634956], [1.5144501416307514, 1.37875980875564]]
[[5.802750068092374, 7.977144459023615], [1.6104300375395249, 1.327579050960192]]
[[4.987081214800928, 7.3930193909881154], [1.632761131837761, 1.3192689394166526]]
[[4.070616129212377, 7.055213741643354], [1.6040587658426468, 1.3897436790669204]]
[[3.5704856726457086, 7.1290077625277615], [1.5102869682506461, 1.4937412197878945]]
[[3.5957826617616173, 7.4896339302456525], [1.3563969218071334, 1.5385083297986357]]
[[4.13021823796365, 8.063116650581394], [1.223082096548618, 1.5028805556571967]]
[[4.900728550992741, 8.568296783383344], [1.2018221783339087, 1.4433451057771114]]
[[5.799905230352969, 8.741972307453745], [1.2983531200855782, 1.3660517479483094]]
[[6.201970981274987, 8.269710296861504], [1.4337550234467338, 1.2788640528567958]]
[[5.963682561715537, 7.526606013062572], [1.5180976473260157, 1.2008584347888358]]
[[5.113808369212168, 6.9079109328845085], [1.5085144068363694, 1.1721959018779307]]
[[4.2753722573950315, 6.830185834177102], [1.4104442775117905, 1.221193990104405]]
[[3.61580791125601, 7.066775109388339], [1.2469754402343254, 1.3030950742921557]]
[[3.4247888730107006, 7.288904136494469], [1.1170782801828563, 1.3247168454656784]]
[[3.5660673463947523, 7.4553599738839775], [1.024829270268593, 1.2741708042338733]]
[[3.9610515590320787, 7.493436016134344], [1.0030412364274464, 1.1969039087809754]]
[[4.4073668846955325, 7.29801451813382], [1.0347827925343318, 1.1408169551463905]]
[[4.893783734499755, 6.7271843196677015], [1.1214878215948414, 1.0788660028161658]]
