[[1329.3557300228879, 504.42750811712864], [2785.72731176893, 897.6346905331757]]
[[1329.3557304430685, 504.4275082017775], [2785.727311933723, 897.6346904387971]]
[[1330.634057356101, 501.9337578866233], [2796.5829676248395, 893.6356789472859]]
[[1108.4691627767015, 408.0079757077933], [2349.0493902167395, 721.0977047650059]]
[[674.1557229974285, 246.19058486050452], [1418.5414399961028, 419.7506151187036]]
[[343.833070570604, 130.16089860492804], [697.8681837611259, 202.09052045303613]]
[[154.63371785752253, 69.50937067829278], [276.4425242080568, 86.54887416517914]]
[[168.8991265959885, 81.93748619601095], [292.739331197474, 107.58490114775717]]
[[440.32704071375906, 191.05217312210573], [850.4018778362168, 308.94044708893443]]
[[805.359666302676, 328.0565501760669], [1624.225943868211, 564.8101225472578]]
[[1207.6723481250824, 468.9678370133511], [2503.489382555723, 830.7889492367071]]
[[1329.8691582840638, 500.54299908656714], [2795.3818172820893, 893.5928391287363]]
[[1110.1621926707942, 406.3717425747668], [2348.2777280006067, 720.9851076521719]]
[[766.2451310206063, 277.27158493392216], [1611.2959387542833, 480.0320224659381]]
[[321.60906915922396, 121.11310224547361], [644.9885135463742, 185.09507678438152]]
[[130.66661249696452, 58.66864899610786], [231.3153366241262, 65.20953093650444]]
[[50.24511153843197, 34.34366847153583], [62.58936158387423, 17.976379505922573]]
[[23.33813743049042, 26.618799546856756], [12.652143211684036, 4.384193150022794]]
[[17.557906986638407, 24.186907375342386], [5.472585423105174, 2.4797704911545]]
[[16.99198808812792, 23.246770960857937], [4.653076546083566, 2.2460933815660877]]
[[19.216632636584837, 23.485573549056127], [4.982556172955844, 2.242857637127445]]
[[23.007726084685295, 24.582417625243995], [6.152436788259298, 2.367845027711066]]
[[25.525424031125677, 25.744215564577473], [7.46328595233437, 2.50349202473638]]
[[25.86903559405258, 27.39952848503395], [8.667688134996212, 2.6522206124242147]]
[[23.56188210810297, 29.692050338440307], [9.06367820203305, 2.8031888531060614]]
[[19.92605068509148, 31.11225637279612], [8.11980751114773, 2.869410868810463]]
[[16.891558351964367, 30.188411294236683], [6.46897617554322, 2.7974315947962682]]
[[14.64725536209026, 26.94329000296318], [4.5478352717208494, 2.634059148686918]]
[[14.890129774285493, 24.05953869037577], [3.66704325170873, 2.577938703516025]]
[[17.476742129025663, 23.642268221978522], [4.095409393917564, 2.6853307067566496]]
[[21.988588338474756, 25.217496262727924], [5.560751914222088, 2.8611692453873316]]
[[25.158777310267286, 27.164723987365416], [6.898730423933666, 2.915703725684212]]
[[25.923042270265956, 29.560981868591405], [7.599184220541462, 2.836159304992473]]
[[23.46090439596565, 32.19826249914768], [7.023305058634312, 2.701360127200502]]
[[19.981903852240894, 33.833385197590985], [5.763944638967032, 2.595637973868389]]
[[16.218778662363995, 33.256467550853806], [4.07892588286122, 2.4943859576180767]]
[[14.223091414428392, 30.21838708921138], [2.895136593986039, 2.4676647130654907]]
[[14.35192184846671, 26.98425533648682], [2.576216513265912, 2.592683237446229]]
[[16.470032509023426, 25.201974281471596], [3.194764826378611, 2.892396310557084]]
[[20.390997814334764, 25.733663907504486], [4.741176263371357, 3.3152415008743525]]
[[23.65719427843093, 28.55968541150611], [6.222141697665069, 3.5765617318137273]]
[[24.33091507092113, 31.08592848636054], [6.704423774097798, 3.6107294594300594]]
[[21.8443339139965, 37.08073918300214], [6.87094787954364, 3.524327928562052]]
[[18.259122533163456, 39.5128443075778], [7.125536976370518, 3.4590465647768287]]
[[14.084897624079147, 37.86420798851593], [8.167562771255117, 3.3712240182519904]]
[[12.817359570278112, 34.40651890508869], [8.750190818674014, 3.3232561055851586]]
[[13.672632501190307, 29.547124979208444], [8.709627665676535, 3.411550303129801]]
[[17.569693213350604, 27.082316039987866], [8.21062386211111, 3.7907705577120816]]
[[23.213320062073436, 27.313691266286604], [8.464699014565566, 4.269380421309009]]
[[27.662517453788837, 29.495519414418506], [9.398851012939538, 4.466305785359755]]
[[28.278914393780852, 32.903262944351745], [9.734023643088687, 4.313832302264388]]
[[24.78428299496954, 37.969536675259164], [9.147455452187373, 3.9919269401990034]]
[[19.78097789385866, 41.22652308129471], [8.584557002395812, 3.7787516454298413]]
[[14.53435763806138, 40.82369796450675], [8.668753090873278, 3.6062601212037073]]
[[11.890948100626053, 36.90726935283713], [8.898867893103793, 3.464325606961616]]
[[11.218710007994737, 32.117403908376815], [8.502245326768968, 3.4013516958842427]]
[[12.22243572047321, 28.49885582939179], [7.4268919740841435, 3.561035569802913]]
[[13.991041343796441, 27.583684826131353], [6.8699824886267065, 3.865071953127141]]
[[15.24000504550488, 28.487536494311627], [7.182906078353233, 3.9814480492745656]]
[[15.262769972394306, 31.309869916898087], [7.59806965742447, 3.779669328836859]]
[[13.98490311780628, 35.069147134455044], [7.71743598360029, 3.4895173098747714]]
[[11.58723775811792, 38.69367511475498], [8.349790551568022, 3.264459301711599]]
[[9.68159363613819, 38.86668615206225], [9.760104630120154, 3.1860648082870453]]
[[8.78818824067011, 35.308875857659515], [11.372533097919687, 3.145037673654412]]
[[9.472720012852433, 31.198520457880207], [11.493794467192025, 3.1868796897075]]
[[11.201483182827914, 28.34930261236576], [10.354245835579754, 3.394830055490864]]
[[13.280206153403286, 27.288294291066933], [9.000496401173697, 3.745573505711286]]
[[15.019556359086334, 27.61773419100557], [8.185086442552263, 4.1316316567899385]]
[[14.886335400934284, 28.902472145901832], [7.930574584461456, 4.262032377920671]]
[[13.281866506084944, 31.07852384881944], [7.644821365932334, 4.266921855408999]]
[[10.695120932620242, 33.52760799735984], [7.873950997918788, 4.213644589925684]]
[[9.14841756465802, 33.860803105744466], [9.213770456761543, 4.084850705473009]]
[[9.029931740222958, 31.51477405240664], [11.356302796764918, 3.788594594266579]]
[[10.113804312689062, 28.58637413311326], [12.209319275153817, 3.533852026180244]]
[[11.998742265372641, 26.359034948784437], [11.300530729087907, 3.5015657717768263]]
