pygame 2.1.2 (SDL 2.0.18, Python 3.9.7)
Hello from the pygame community. https://www.pygame.org/contribute.html
mu_r be_r mu_l be_l
1.3267473909004588 2.8020670696694103 1.755814590404536 2.4732848668347596
1.3267474283682168 2.802067071134301 1.7558146116986268 2.473284867047347
1.334521011922232 2.805721773796619 1.7803957917271602 2.4790602048188792
1.3341324677655244 2.6800344414412427 1.7382840120096632 2.313387523793988
1.3003485904433159 2.3482782997283236 1.527265839591072 1.905907643871196
1.2573221796200325 1.9848465562387843 1.243370207697575 1.502516567005448
1.2154958323019065 1.846709265404797 1.028517069184997 1.376692689303974
1.1659155191641986 1.9893747634963432 0.9288402905995978 1.5590873641696599
1.1425514284520464 2.3048837769053296 1.0582137981560344 1.9195196328241975
1.155395175340803 2.5343644233414686 1.354055515966194 2.2155623259014616
1.1536399977825391 2.5638765467423377 1.6043825590614704 2.3300385006026905
1.0801896903817743 2.4300798772061256 1.7399709047351752 2.290948378871979
0.9685001838123815 2.221291490940776 1.6924304099438725 2.111349053363978
0.8711411749580901 1.951199527279701 1.511842387001086 1.7941711738168518
0.854487124857273 1.71879925211203 1.2844395120985213 1.474814957500272
0.9208012875515779 1.5629566579837595 1.042679417684805 1.235971896475842
1.0304942290806112 1.5870226058786414 0.9438556842033221 1.2410096731071272
1.1485281284376776 1.765239856962879 1.0667692052155155 1.4533784545712698
1.2399483096161419 1.966589819668633 1.3062088368813807 1.6984344681209005
1.2898998666522532 2.1472146515864967 1.5772594482534457 1.9219849837760274
1.256982367157062 2.1954975715839185 1.6965175883876582 1.9887586741605165
1.1802019170327338 2.1086036313355123 1.6832617878300098 1.8798284187167333
1.1863182832515518 1.928759811664626 1.5751579933492015 1.615339916790091
1.302905194446707 1.7818251283837394 1.4465521658344584 1.3702939701350454
1.4669127068672858 1.7029688654651116 1.280656845274435 1.2242229260775175
1.5127960928324908 1.7513665037409172 1.1658859395567218 1.3056606884688098
1.4230374868849194 1.9407103313934657 1.1960136188968253 1.6121545876146088
1.316223001807881 2.200644487290559 1.40121452415424 1.9776286395581109
1.250893671310008 2.483623334475071 1.730764390221732 2.3169584871574096
1.2228871528077008 2.6884196659548873 2.1253156137425835 2.509410982537338
1.2106521308410154 2.6280510517276934 2.3684970491931656 2.3849430442383355
1.2328533489578943 2.3537430393416927 2.3567373134203473 2.044887872797367
1.319187919589206 2.0905522693308853 2.0957795552087064 1.7559883943437964
1.4043901549477078 2.0166729332358613 1.7478347412562987 1.7083665418583227
1.4286726320606604 2.0933576591878134 1.3990222112555792 1.8540092961094192
1.358363583711987 2.2678001921236928 1.1470110255243497 2.1400264700759912
1.2624151918032191 2.4204312642001167 1.1684243914290426 2.3895593625212412
1.2033013611729169 2.5396339238208365 1.489556126165626 2.5472245593838947
1.1966591681659189 2.6028951780383722 1.9341617290103028 2.554804620469898
1.2268045753718742 2.611127639238711 2.4424513730454454 2.406114602493411
1.3035818703458357 2.5622399549121906 2.7055889674855553 2.193835696254728
1.457618087272379 2.5107987507961864 2.7203441819638834 2.0154585734392736
1.7131151650544734 2.5348215420525673 2.4780311348045365 1.989314605440109
1.9143936761540512 2.636071654244997 2.1652190200019015 2.1424991517700573
2.0047552760134173 2.736524983971593 1.8352616222822395 2.3955762941214322
1.9252664759005136 2.702107881556189 1.6667771962742581 2.554583557418725
1.7900485977870197 2.555984258636061 1.7698202116171398 2.543067215469267
1.7369222170580971 2.428289333533419 2.102636439626068 2.422450437377901
1.8009290887294915 2.3324802157873243 2.6393286798370834 2.216427509916893
1.9479902504474966 2.286726461092512 3.0387868339309256 2.0264139535587233
2.1015864682104115 2.2935490074338554 3.126634503025506 1.9279152760252434
2.2371271880742536 2.397877509306954 2.8448548649596073 1.985040151843643
2.279931156901928 2.5472785419040043 2.396108208172122 2.1796051052732692
2.2173045538562572 2.6544057841083415 1.875683703988989 2.4604625596734744
2.085857510642014 2.5923931318999265 1.5926385792821172 2.627787897363536
1.9390964681869505 2.382374903069806 1.6049696289619277 2.65438848660195
1.9156958153280463 2.211830975018904 2.0152962842413116 2.552313861044324
2.0432671857433666 2.2291331607641838 2.640182848370024 2.440932132584123
2.2031869268851265 2.3831664613283414 3.0711986894355534 2.3939575933005597
2.339730511842143 2.616058649426221 3.1670445586932825 2.387106271588873
2.380612387892821 2.7973136408272503 2.850939804492151 2.392192085876544
2.3381720790034564 2.885441240810649 2.298228637050265 2.399309877159995
2.2182540355067424 2.812116809858853 1.7984139130547998 2.4205888713483086
2.0786538594620607 2.623643034537988 1.5625035677013792 2.446002608757499
1.9625533103749846 2.3629973110220566 1.6265807773898164 2.4533600596829306
