pygame 2.1.2 (SDL 2.0.18, Python 3.9.7)
Hello from the pygame community. https://www.pygame.org/contribute.html
mu_r be_r mu_l be_l
2.107590747964193 2.3111569141388437 2.7746935797717773 1.806117483825198
2.107590629491327 2.31115691108634 2.7746936343186146 1.8061174921507934
2.1198316573825275 2.3905659996032096 2.6965381003074764 1.8310359839435555
2.20353681769318 2.576491995629727 2.3687632882176057 1.8908971933406666
2.3204010185596426 2.659967045777682 2.1100862180495636 1.9169620158845488
2.407206904550188 2.645149148306684 1.9694843297667595 1.8966309048688814
2.384716470134814 2.476011716672436 1.9599576928494626 1.7974964934089825
2.2533842249058806 2.2103358441067686 2.087263942764583 1.6702841658409464
2.1364445096622373 2.0459566435710093 2.2919118134466725 1.6230586758372205
2.0513732544242567 2.063477111530383 2.569102915120518 1.6907293895272142
1.9929629314854962 2.2332239872339352 2.7280745952485113 1.8144012945665549
1.8952566758921345 2.4649029827487965 2.6913903562778367 1.9479813323684085
1.7752692411165782 2.626972594069759 2.428427825033427 2.0366128179193175
1.697416931902144 2.7120454393731457 2.1239528123012703 2.086807882327467
1.6997413458996766 2.744192046832083 1.9075993482983502 2.090164061620496
1.7681669950813477 2.7045059741527635 1.861308560964685 2.0321457846767337
1.8589157613859335 2.599495072576105 1.9182532227512472 1.9406396069978378
1.887725495801832 2.5363753529686504 1.9938151522579222 1.9206562119326374
1.8456214105576247 2.574612611295958 2.047203870960863 2.0034203224902236
1.7619720543217103 2.7005137696675345 2.017254245845655 2.126312020333064
1.6877055996108559 2.815633130556687 1.9140595845536006 2.1987974700755357
1.6148639790636552 2.9426372603694766 1.7561266140217993 2.2452210319763313
1.5805398951377614 3.0827551707719594 1.6469159016666528 2.2791800494363983
1.6188744150775105 3.1635219213603953 1.6355062138834677 2.2672114620321198
1.7473620185663408 3.0966473563981944 1.704725662229067 2.1488801370306696
1.865738787988811 2.864579393443791 1.8044328549375201 1.9664654652464875
1.8614714290555534 2.5713258866330935 1.9056513305058966 1.8115082153857136
1.7278714744469776 2.4112555554039123 1.9704515046187923 1.780299668711236
1.5341961787521987 2.3949588528690575 2.010228264698927 1.8604286339765408
1.4374050264444698 2.5357219706885683 2.0185908078708605 2.025765437933904
1.474165331292431 2.7549787370671686 2.026700356516993 2.2125942807241503
1.6414985052156106 3.0572520987698395 2.0847592339711394 2.4172694810699835
1.9163008806487056 3.261395177083761 2.2173565136636917 2.487890771105798
2.222719668970567 3.212432988183106 2.371284736886967 2.3479687367969055
2.382588902085099 2.9791390611805086 2.4361695110830355 2.1279557185178204
2.2962610481165577 2.6675726509947175 2.3592454649500785 1.9375345425522297
1.9304781221836507 2.489709862509549 2.1428686906965506 1.923804715501068
1.5503028803849637 2.4656829395421727 1.9309260883072412 2.01701524039792
1.272955831658229 2.5011084157563577 1.7747873022141714 2.1283310280624987
1.2329480434872717 2.544855722824697 1.7419871646604836 2.1900287153987477
1.3870371183608086 2.5919762846328087 1.8115112210793685 2.185674569524261
1.6904378699035854 2.6676337177852663 1.9514316448899809 2.118139791349038
1.9734320000350514 2.7127421865748595 2.0697542597774046 2.011066513817047
2.175895171360423 2.6791103840368047 2.1180599881474893 1.877532604590484
2.1184575134983143 2.5284528609942285 1.9843198698253042 1.7830725680425616
1.8393648175812611 2.3816034557976122 1.7477378962700403 1.8084713038221287
1.4596130626091406 2.275921170743757 1.4872423682313933 1.9676738371861258
1.2767165692122344 2.2985932735311705 1.3968174633762567 2.235340367928416
1.3423458389501117 2.439964205960219 1.4648138333817 2.504336636483831
1.566071395217486 2.703147862391896 1.6166398416848111 2.7536436297796163
1.7945722582688157 2.926899070942232 1.7614305076936716 2.8053656957327258
1.9807951211141774 2.9988213437965148 1.890110888080563 2.652905227042847
2.136008761957904 2.877051035855706 2.0160149616141276 2.336471969235924
2.1551483638961932 2.660670687353275 2.0568096654539176 2.087123559369524
1.9776158446395895 2.4076720348063714 1.9952642404065104 1.9343961979420408
1.695273074009291 2.258830123542245 1.8999150058812484 1.9180276383397032
1.3853810086549267 2.2085232142234283 1.8317090573433612 2.0065207940133054
1.2540379704488673 2.274948406212837 1.8221735240470087 2.1659079085176387
1.3057819846551881 2.4401920004522544 1.8248469821078417 2.3858859419678553
1.5236393788074953 2.6131710679380054 1.8336353010429622 2.505079833590593
1.769440480051304 2.707550640857032 1.8886748084973217 2.447077277609385
2.0220191513453187 2.731178936862653 2.0452673561505677 2.227317413466189
2.0903602503677665 2.6835365633295947 2.1896862866419444 2.0411809539520815
1.9597977429719124 2.568465856501579 2.2679192529001644 1.9020871802332797
1.6704656284930808 2.4255240081828964 2.194401116684416 1.8593429936319352
1.3954529006845846 2.3237338593687884 2.005830495171832 1.9202295750083807
1.2974781677995573 2.311827553590804 1.8335456690145333 2.052498032231437
1.3954437368282429 2.36710096819591 1.75083054570357 2.219439735008844
1.6430186153423745 2.4088996945689987 1.8833660172383972 2.2671427005338987
1.8677831568451737 2.37676608552302 2.1430824583244332 2.163842089053848
2.0443541926433686 2.2638136764791383 2.4586181985294377 1.9468987920758998
2.106919824859018 2.118121605716898 2.627548436297237 1.7405928940551767
2.0737023681347 1.9908445989630588 2.592820723549012 1.6185976916952576
1.9866131808832608 1.9287501308860746 2.430889054321858 1.615127954125916
1.8539600596288417 1.9412594699915195 2.157294384951355 1.7586222736484416
1.7624893253140126 2.033430994006687 1.908872580856781 2.003464259740772
1.765869368144843 2.1700409050988347 1.794653371776151 2.243219369072562
1.8491551152840948 2.272240670123548 1.9257729490314999 2.2949418582747025
1.9053189759462676 2.3000673138347683 2.1725048516830654 2.1625697654220195
1.9127333464646652 2.2680549529264105 2.4318297604985997 1.9163842544554113
1.9151786529875745 2.2024549792357875 2.525423798136919 1.7266750276350513
1.9523027544801248 2.1115019551722964 2.4544323519511693 1.5938478606339637
1.9644096897608305 2.058598666620513 2.21366153639154 1.5784607116100575
1.8933271908428737 2.0936755652115284 1.8983242035616057 1.6794277713825383
1.766533291639318 2.217442753724209 1.561293675145887 1.8687777063769466
1.6502772165310522 2.422297435483086 1.3169549271153143 2.0983566239258544
1.6307526654538802 2.5820380680050854 1.3517451445954136 2.2094400677416495
1.7001733794702187 2.676762506440071 1.6987355439527134 2.19269500758136
1.8255375016578288 2.6376799121815355 2.1053293667930832 2.086990123453653
2.068725934873244 2.4526526282787384 2.550229832522151 1.8933667072646942
2.324775303328055 2.2132047056842 2.79835946356723 1.6869592041074397
2.5057682612830896 1.9836853272100128 2.7933041754029153 1.5094387132724065
2.4408778381600587 1.9532717439979714 2.4929598016986083 1.5357432754201659
2.1573351326295955 2.150780745902576 1.9513216711733934 1.818441689256384
1.8768173667056938 2.4572891402025143 1.529630941825845 2.203356958795678
1.7738102578046875 2.650652844041206 1.460742900566066 2.421262210195782
