pygame 2.1.2 (SDL 2.0.18, Python 3.9.7)
Hello from the pygame community. https://www.pygame.org/contribute.html
mu_r be_r mu_l be_l
2.4156313774845124 3.305612308267927 2.912356271564765 3.3530624078718017
2.415631373938488 3.3056122976881905 2.9123562718605998 3.3530624084761476
2.4249889802032683 3.253732568182445 3.0031309382159197 3.3282763897253833
2.511984891891575 3.2663080859882836 3.3917099804737383 3.4099536231562664
2.638155397134663 3.6690930762906087 3.6685733873747735 3.798831954641517
2.719742803922415 4.22380144799061 3.6422562632785738 4.220751274049803
2.6852291201040486 4.875392418695553 3.275426984827299 4.581435643845424
2.4411032348954094 5.3206157764792374 2.726694775836076 4.746392734004674
2.038437216973148 5.381893157914529 2.2416454517766877 4.7691830290498265
1.673643561020717 5.064678887274372 1.9892231479954592 4.7015570012886165
1.4670638188555443 4.532919542152612 1.9987579391250596 4.592859233258584
1.537829402447605 4.133564805030801 2.309376443933126 4.548465937921909
1.8502144926401975 4.035126069515493 2.8190035234483157 4.602724613534841
2.194633415820482 4.132222419729898 3.2123495029572613 4.657544033962549
2.469103488152594 4.3058816948295835 3.33118813808436 4.62973211656251
2.465977050044713 4.417745356754686 3.0618309445206577 4.515870394718724
2.186341908783846 4.422340964181813 2.4937815775873964 4.3446505881270285
1.7970509204371319 4.242083499612802 1.9795644322073351 4.200785424753092
1.5497109326222307 3.978148807355172 1.7721787975719607 4.127651827409958
1.4764194175934457 3.714178252694908 1.8778444449994875 4.13120608828949
1.6299595067622847 3.6690254171409107 2.33134216146524 4.261214371762184
1.9401398854738923 3.8804029403548355 2.9967480995122204 4.501811636685567
2.234542897132119 4.1885443367949815 3.5009070275342524 4.728458985124939
2.4611312593057786 4.555711572359775 3.6878407296314615 4.902286485658251
2.484801266200787 4.796463473850613 3.401781978032749 4.9096169305343995
2.3613065212991353 4.839491681238516 2.894160202556734 4.776947474528662
2.130928490612433 4.607410992437891 2.3045930371747874 4.528728138887171
1.9306900114656655 4.221471774381952 1.9775401775552175 4.342013200321205
1.784668316389593 3.8430016872872637 1.9270805186189666 4.292045508557591
1.7276516060401859 3.6714172895426542 2.2527241504133904 4.472879832367717
1.7783202018136455 3.8529814566370044 2.768358318696461 4.788777994875092
1.9062617511350228 4.345734377998065 3.3309154551635123 5.167309838911956
2.0448401992722434 4.8807266547178445 3.5432009158479767 5.353461566617455
2.1415795829560498 5.140477137511234 3.3919797899725053 5.234685347573067
2.191567007947426 4.969706525743257 2.970724905324153 4.698682695704324
2.1170827937285783 4.320312625152476 2.549176886411545 3.987682632021324
1.9569124934115512 3.6092080176089882 2.260879052614181 3.4837731696426246
1.7474888600045582 2.999536036320043 2.117635370646532 3.2825108590613667
1.6306302742771313 2.8521850257492742 2.2309687585317644 3.449275236562835
1.611840627700343 3.1250983830859447 2.5916988628795776 3.8686367971717712
1.7086176676280616 3.7184388888499442 2.975602397502248 4.340184343816791
1.9103865981823827 4.3968201287296855 3.160936296449894 4.697269734654007
2.1248252584103593 4.803375929050787 3.130026870114633 4.757956997785
2.264277583822234 4.816488425576564 2.973906382412415 4.481293772425328
2.1948822323337827 4.2765914183427425 2.6883830021012116 3.837015793365913
1.9052310625307873 3.440800485891803 2.356674155587678 3.2168084911168817
1.6445477734065104 2.8576400720769253 2.172399583543874 2.9882938089320583
1.51335481484245 2.6261639531951775 2.2535485830572637 3.1232138179949356
1.5479851153952549 2.8060598733404483 2.5961360600586216 3.4882860417736623
1.6824456420276224 3.4047337157252042 3.053981154796961 4.04926071520497
1.812747511547323 4.174769894805921 3.2328502080275237 4.586561614464067
1.9426801120858155 5.0308148467228015 3.1220885602471835 5.0807085559386636
2.084852713935369 5.799387767803334 2.7807468810339344 5.4112242873196115
2.1553287860681154 5.98650439192067 2.4742572148266224 5.376368172797955
2.1142680902689475 5.551784614872245 2.2253479538236576 5.020968970504687
1.9834024869576166 4.69885176529203 2.172936225356004 4.535636762198469
1.9240182319837644 3.9369820245033944 2.409498856701311 4.123881588954677
2.043977166549209 3.458366993564602 2.968538957285288 3.79162845023221
2.261367150276982 3.372408903053453 3.4901109414061273 3.6261404408029008
2.47049792530681 3.540402865314862 3.75663971558534 3.623280141551732
2.5917430828985664 3.8962106130645373 3.633153517910089 3.803251433837606
2.605730555322626 4.398356469708316 3.1428362905609726 4.133503057320695
2.523660361556297 4.695595331516101 2.658887018745874 4.324835318498787
2.333281698248938 4.598714243024705 2.235513095703711 4.2030235238424885
2.123953395549286 4.079628478092098 2.0599282263320453 3.7679937030319306
1.9436293393648851 3.252814188298207 2.1654861590547902 3.1063773225749136
1.9387975792626115 2.6823080193964914 2.596259034019997 2.66426666715693
2.0846817292479494 2.572862353658468 3.1405713969654188 2.602933699883791
2.302253337813346 2.871141699912737 3.5547410288283086 2.8800366558638117
2.526843885083572 3.5291601620265416 3.623476328308742 3.4465658421604033
2.6376800049124327 4.240271893669671 3.298736944714356 4.020226438652206
2.603310753415591 4.655909159342355 2.896943251829905 4.323769469583872
2.404993483002119 4.654451514257987 2.48985260631758 4.275424271566359
2.159688163194147 4.189821956442502 2.292175458105472 3.871326486198072
1.955895477214979 3.382795782389096 2.362387789526098 3.20471503647177
1.9582361592196311 2.816721736420015 2.700810845958318 2.7472118654965474
2.1521237524157417 2.616815498173165 3.1947540169948407 2.599405978517998
2.3931511091850375 2.8528623849013024 3.414581710643677 2.8108184644179315
2.5964898288696157 3.3511477104069893 3.2019008007788052 3.2277755376818402
2.700405627619377 3.8270606124088893 2.787553832192901 3.611856182957184
2.738558872419158 4.209458396611989 2.4242084230839365 3.9127084020923606
2.704817606412255 4.345445790485516 2.2908019167961964 4.006049844265743
2.585463347561636 4.058769716497043 2.462051957448921 3.730712340906361
2.450069383916389 3.419907818999741 2.8931427684875626 3.140704921886874
2.3991085005375163 2.8326310099999477 3.4405250550564865 2.597332345375901
2.4521850748452643 2.6220062485038858 3.8360672603639836 2.413127911281661
2.5528695277264264 2.6912194104701057 3.9586228361141735 2.511238535279496
2.638737559540684 2.988007151828065 3.5788936011438377 2.8367605894891774
2.6304459698366656 3.32959360386139 2.965952481542246 3.1497203852071882
2.5533872942383296 3.8023902849894373 2.3085683175278775 3.494197991247441
2.4689358238045034 4.127528708214617 2.0545301053313514 3.6619112776971536
2.396864190588431 4.150751770380691 2.1482993367779994 3.560664997844118
2.354374274721661 3.724664361255812 2.5358635580940696 3.0933334149986536
2.3729158898211784 3.1111713737386233 2.983146202160401 2.5236289312816336
2.417915077159328 2.7510305798134675 3.2435025754400706 2.214350543135315
2.439086431781064 2.6578773020158435 3.2583091571114777 2.15559432534159
2.3976742402432234 2.807010202080406 2.9176371447281477 2.31542567814227
2.3439274463664725 3.121824070612603 2.393917716847985 2.599876289289052
2.361992661816213 3.58859338441706 1.938005255265567 2.9880907857459
2.443686176929007 3.940977384830134 1.8464580727535753 3.2658433277841388
2.52260298949921 4.025486526981406 2.065991144237264 3.3116602016358128
2.561049170325927 3.7607798636383256 2.4873040607679533 3.0578850699282434
2.596863950700469 3.2261021283945754 3.03276165064662 2.569256864432013
2.664449442537018 2.8444647657446502 3.4057032304817336 2.2286923187606495
2.744937866490257 2.6384549795646617 3.5514244236523855 2.0682344231919436
2.7395099986883404 2.5717543307141955 3.345203579212716 2.0360068785822456
2.6323151319603837 2.498005820079426 2.8476358712081398 1.9575546754240012
2.4991158693697972 2.4229902205247065 2.3466523775397348 1.8057593539951502
2.4061599935901077 2.3859186734788445 2.01610389683409 1.610695607055063
2.409787820468534 2.41367298086442 2.0346157732889334 1.5018998416506097
2.454735876559521 2.4811099766805262 2.240874154783819 1.488110471528404
2.4743804378993897 2.574061774201584 2.5142937348424557 1.5901348980036443
2.4024105248957954 2.617735572194299 2.69201748942013 1.7574469435583902
2.281615131328281 2.5583969252144385 2.7315045284876542 1.8698360120218185
2.1484413521429024 2.3912179828262086 2.616132007783154 1.8868562390122707
2.1088091375558378 2.2674198744737986 2.3899312546410685 1.8144467786438185
2.2142882168297557 2.309875146447719 2.1262099009159896 1.7290191344400503
2.483670198940246 2.604138791203488 2.086190207171355 1.7541541795042481
2.812595715259218 3.0388442222136396 2.3668249191502686 1.9208410322647549
2.9402125775914825 3.3024166642571675 2.6702693774173807 2.0874929229007595
2.854301943637161 3.3898204950989728 2.855456405271235 2.208280234642866
2.610602729745349 3.2951133869341973 2.8869509833309492 2.2521534745738467
2.3340853560863515 3.014825085872926 2.851514718999822 2.207894087506087
2.2508599814358474 2.706859836184877 2.8380024256650445 2.0973335992424063
2.348126714551533 2.4486692322556873 2.811731553013908 1.938132276496043
2.6110259379977663 2.3542222406886393 2.7088719723543564 1.7586743313895052
2.912954165408046 2.554339522351012 2.5811381001722213 1.6986034025218415
3.1172138269574905 2.947105184090645 2.531718840776237 1.8182112683941722
3.1553723361964776 3.35304458107659 2.5417006516741876 2.04006251022287
2.982974495589838 3.677467082012793 2.5368501552625364 2.278435062202925
2.7218525410572196 3.698857424124113 2.504338549494263 2.345004024422783
2.4807499481127557 3.366742885700366 2.526740693025326 2.2133837961162497
2.4496695037248046 2.874653600455485 2.660093237553883 1.9829169747422066
2.6067364526885783 2.3547443484567245 2.8815549565066543 1.7179169523217133
2.7760823408147903 2.168185509843311 3.004666780005196 1.5811607437336312
2.850188599471517 2.351865567310108 2.9618907989757277 1.5885014748478021
2.7597653239581494 2.8588212479184305 2.725823211594453 1.7799876182971146
2.57824996976478 3.461336985688361 2.3771983677392248 2.092595090989269
2.4108818104566145 3.8583386715036756 2.0771042956584225 2.3596330867507733
2.266504775170337 3.9857083261605295 1.8741666106362578 2.5390342478985146
2.2083112054054044 3.7306371481653113 1.9046856322457806 2.565105333769825
2.300703782330105 3.254332936681479 2.187014244242746 2.4696118768225626
2.488158836486133 2.9025908688533537 2.5126552494559027 2.3521652876887247
2.6984625937946665 2.753719279390946 2.764593669022222 2.2494817016757636
2.858642360587729 2.8586421664847874 2.8469415167446956 2.212259706249068
2.8783112860929467 3.134214539876224 2.736175814872736 2.3017951414176823
